OBJECTID,NPU,STATISTICA,POP2010,NEIGHBORHO,URL,A,pop,white,black,asian,other,hispanic,GlobalID,last_edited_date
43,NPU V,V02,4880,"Adair Park, Pittsburgh",http://documents.atlantaregional.com/AtlantaProfiles/V02.pdf,"Adair Park, Pittsburgh",4880,4.1,90.6,1.9,1.4,2,{9392A316-61E8-44D2-8982-4F01CAA681D1},
44,NPU V,V04,3786,Mechanicsville,http://documents.atlantaregional.com/AtlantaProfiles/V04.pdf,Mechanicsville,3786,2.1,94.9,0.3,1.1,1.7,{A6FCCEA1-5AF1-4DBB-AB7E-B6F39845A488},
45,NPU V,V03,2658,Peoplestown,http://documents.atlantaregional.com/AtlantaProfiles/V03.pdf,Peoplestown,2658,8.5,84.1,0.8,2.6,4,{64A1EDC7-D5A4-43F1-8043-4606017E592F},
46,NPU V,V01,2874,"Capitol Gateway, Summerhill",http://documents.atlantaregional.com/AtlantaProfiles/V01.pdf,"Capitol Gateway, Summerhill",2874,12,81,1.8,2.2,3,{B15457F6-DAFD-4293-996D-B73CC946DE47},
47,NPU Z,Z01,3135,"Lakewood, Leila Valley, Norwood Manor, Rebel Valley Forest",http://documents.atlantaregional.com/AtlantaProfiles/Z01.pdf,"Lakewood, Leila Valley, Norwood Manor, Rebel Valley Forest",3135,2.6,84.3,1,0.8,11.4,{8ACF2822-1EB0-46A1-ABF8-94883D53AC93},
48,NPU J,J02,5534,Grove Park,http://documents.atlantaregional.com/AtlantaProfiles/J02.pdf,Grove Park,5534,1.9,95.4,0.1,1.3,1.3,{4181B777-2B6D-4477-9913-1F78E1B76F84},
49,NPU G,G02,3067,"Almond Park, Carey Park",http://documents.atlantaregional.com/AtlantaProfiles/G02.pdf,"Almond Park, Carey Park",3067,1,96.3,0.1,1.3,1.3,{F8A15C3C-1DD0-425D-9F4F-5FB3699DCE3C},
50,NPU D,D01,5314,"Bolton, Riverside, Whittier Mill Village",http://documents.atlantaregional.com/AtlantaProfiles/D01.pdf,"Bolton, Riverside, Whittier Mill Village",5314,43.1,27.1,2.4,2.2,25.2,{08C6248F-09AB-4572-A060-14B37A5803EB},
51,NPU G,G03,3628,"Carver Hills, Rockdale, Scotts Crossing, West Highlands",http://documents.atlantaregional.com/AtlantaProfiles/G03.pdf,"Carver Hills, Rockdale, Scotts Crossing, West Highlands",3628,3.9,91.6,0.6,1.5,2.3,{F74B2AEE-4CA9-4204-8A5D-54C439368E44},
52,NPU K,K01,3836,"Hunter Hills, Mozley Park",http://documents.atlantaregional.com/AtlantaProfiles/K01.pdf,"Hunter Hills, Mozley Park",3836,1.5,96.2,0.2,1,1,{26D82781-C953-4D42-9528-190B5B85E568},
53,NPU K,K02,2924,"Bankhead, Washington Park",http://documents.atlantaregional.com/AtlantaProfiles/K02.pdf,"Bankhead, Washington Park",2924,2.7,94.2,0.1,1.3,1.7,{DEF3FFCF-1F78-47C0-B177-4592C9221418},
54,NPU K,K03,2639,Knight Park/Howell Station,http://documents.atlantaregional.com/AtlantaProfiles/K03.pdf,Knight Park/Howell Station,2639,24.6,69.1,1.1,1.6,3.6,{85D0EB22-3FDF-445F-B9D3-EF2C89B2A779},
55,NPU Q,Q01,1898,"Midwest Cascade, Regency Trace",http://documents.atlantaregional.com/AtlantaProfiles/Q01.pdf,"Midwest Cascade, Regency Trace",1898,1.5,96.3,0.9,0.9,0.4,{6F2E8026-7D9A-4536-AC27-43C17F1430E7},
56,NPU P,P01,3826,"Arlington Estates, Ben Hill, Butner/Tell, Elmco Estates, Fairburn, Fairburn Tell, Fairway Acres, Huntington, Lake Estates, Wildwood Forest",http://documents.atlantaregional.com/AtlantaProfiles/P01.pdf,"Arlington Estates, Ben Hill, Butner/Tell, Elmco Estates, Fairburn, Fairburn Tell, Fairway Acres, Huntington, Lake Estates, Wildwood Forest",3826,1.2,94.6,0.5,2,1.7,{3EF49A32-871F-4F1E-9D64-4FB635DD110B},
57,NPU P,P02,3670,Princeton Lakes,http://documents.atlantaregional.com/AtlantaProfiles/P02.pdf,Princeton Lakes,3670,3,90,1.4,1.9,3.7,{90BC9E53-8D6D-4F8E-B65B-8F785CD89811},
